dateobs	ut	mjd	filter	mag	dmag
2018-11-20	07:47:00	58442.3241474	gp	17.6535689466	0.0142932628882
2018-11-20	07:42:56	58442.3213192	gp	17.662433329	0.016269359569
2018-11-20	07:39:57	58442.3192443	V	17.3662058892	0.0216096330767
2018-11-20	07:37:13	58442.317355	V	17.3165083892	0.0237973253661
2018-11-20	07:32:51	58442.3143179	B	18.1543280815	0.0259098041344
2018-11-20	07:28:47	58442.3115012	B	18.1407506815	0.0285664876021
2018-11-20	07:22:47	58442.3073283	U	17.0758794733	0.0903021129306
2018-11-20	07:17:04	58442.3033641	U	17.3745216622	0.159141504827
2018-12-01	06:57:27	58453.2897455	ip	17.252700533	0.0143157170194
2018-12-01	06:54:44	58453.2878676	ip	17.3307258755	0.149344128008
2018-12-01	06:52:42	58453.2864651	rp	17.2673346204	0.0152172415354
2018-12-01	06:50:00	58453.2845757	rp	17.3881008789	0.101265973432
2018-12-01	06:45:40	58453.2815735	gp	18.0423999481	0.0120830369898
2018-12-01	06:41:38	58453.2787684	gp	17.6209286401	0.0252950266471
2018-12-01	06:38:38	58453.2766935	V	17.5664146291	0.0188294870261
2018-12-01	06:35:56	58453.2748157	V	17.2454447163	0.0402088941287
2018-12-01	06:31:37	58453.271825	B	18.7187625499	0.0262040747605
2018-12-01	06:27:35	58453.2690199	B	18.5899046917	0.0656752576391
2018-12-01	06:21:35	58453.2648471	U	18.2053197249	0.204251051339
2018-12-03	06:28:02	58455.2693322	V	17.5084617535	0.0185125381798
2018-12-03	06:23:41	58455.2663065	B	18.7223723076	0.0277912686783
2018-12-03	06:19:39	58455.2635012	B	18.5545029776	0.28170943676
2018-12-03	06:13:41	58455.2593514	U	17.8884170561	0.199869854585
2018-12-03	06:48:08	58455.283288	ip	17.209298356	0.0132892795478
2018-12-03	06:45:24	58455.2813869	ip	18.1063899824	0.122259299609
2018-12-03	06:42:25	58455.2793121	rp	17.2761647253	0.0112211381941
2018-12-03	06:39:42	58455.2774343	rp	16.7905324566	0.0780958109249
2018-12-03	06:37:42	58455.2760434	gp	18.1496594609	0.0233623010379
2018-12-03	06:33:39	58455.2732385	gp	18.2414182455	0.0522506678375
2018-12-03	06:30:44	58455.27121	V	17.6493712764	0.021493943027
2018-12-05	07:42:21	58457.3209345	ip	17.2754214771	0.0213571821806
2018-12-05	07:39:38	58457.3190564	ip	17.3379909771	0.0143649510036
2018-12-05	07:37:43	58457.3177169	rp	17.3142311078	0.0163634009652
2018-12-05	07:35:01	58457.3158399	rp	17.3824349314	0.0124237760948
2018-12-05	07:30:46	58457.312902	gp	18.2758665332	0.0135069037767
2018-12-05	07:26:44	58457.3100946	gp	18.2365665332	0.0104859216534
2018-12-05	07:24:48	58457.3087468	V	17.5534517975	0.0254421348867
2018-12-05	07:22:05	58457.3068741	V	17.5453361015	0.0195081386297
2018-12-05	07:17:46	58457.3038653	B	18.860327891	0.0269726992477
2018-12-05	07:13:43	58457.3010638	B	18.8413795529	0.0259369607677
2018-12-13	07:44:26	58465.322384	ip	17.3161698945	0.0141134246534
2018-12-13	07:41:31	58465.3203556	rp	17.4586550164	0.0130928858798
2018-12-13	07:38:49	58465.3184779	rp	17.4192893106	0.0120875997908
2018-12-13	07:32:53	58465.3143548	gp	18.347100749	0.00920830283648
2018-12-13	07:27:10	58465.31039	gp	18.355288566	0.010205212521
2018-12-13	07:24:15	58465.3083732	V	17.8253208113	0.0215303350977
2018-12-13	07:21:33	58465.3064954	V	17.8007604976	0.02086099888
2018-12-13	07:15:37	58465.3023774	B	19.0793425435	0.0277926343371
2018-12-13	07:09:55	58465.2984132	B	19.104937188	0.0260284515874
2018-12-20	08:25:54	58472.3511817	ip	17.4464519184	0.0213187373446
2018-12-20	08:23:14	58472.349327	ip	17.4180424184	0.0212279881714
2018-12-20	08:20:19	58472.3472986	rp	17.6254159388	0.020167787084
2018-12-20	08:17:38	58472.3454326	rp	17.5880446055	0.0191983103298
2018-12-20	08:11:45	58472.341341	gp	18.6188223682	0.0262717147821
2018-12-20	08:06:05	58472.3374117	gp	18.6574903682	0.0312114539473
2018-12-20	08:03:12	58472.3354181	V	17.8504849764	0.0347738359611
2018-12-20	08:00:32	58472.333552	V	17.9055505875	0.0357284399464
2018-12-20	07:54:37	58472.329449	B	19.4283493088	0.0957410609397
2018-12-20	07:48:56	58472.3255081	B	19.194066131	0.0788990109197
2018-12-24	07:05:55	58476.2956253	ip	17.4420641742	0.0342360975622
2018-12-24	07:03:14	58476.2937706	ip	17.5445503213	0.0312414636317
2018-12-24	07:00:20	58476.2917653	rp	17.5850822777	0.0392442174446
2018-12-24	06:57:40	58476.2899106	rp	17.6042864738	0.0293344653952
2018-12-24	06:51:47	58476.2858201	gp	18.8118980327	0.0373552208348
2018-12-24	06:46:06	58476.2818676	gp	18.7931124771	0.0363488328235
2018-12-24	06:43:13	58476.2798624	V	17.9013789276	0.0432998356224
2018-12-24	06:40:32	58476.2780079	V	17.8759078393	0.0432362693265
2018-12-24	06:34:38	58476.2739046	B	19.4706960809	0.101923225128
2018-12-24	06:28:58	58476.269975	B	19.5916068338	0.115867018819
2018-12-24	05:57:58	58476.24845	rp	17.5848811013	0.0223747447469
2018-12-24	05:52:05	58476.2443584	gp	18.7897442287	0.0422389547969
2018-12-24	05:46:25	58476.2404169	gp	18.6607878758	0.0382619603628
2018-12-24	05:43:31	58476.2384117	V	18.0320498393	0.048459993652
2018-12-24	05:40:51	58476.2365573	V	17.9276048393	0.038976255738
2018-12-24	05:34:59	58476.2324888	B	19.3960546547	0.101823817319
2018-12-24	05:29:19	58476.2285479	B	19.3983020436	0.123617552462
2018-12-28	09:10:20	58480.3820409	ip	17.5093257585	0.0191870753978
2018-12-28	09:07:40	58480.3801863	ip	17.4943759349	0.0172021659568
2018-12-28	09:04:46	58480.3781566	rp	17.62344276	0.013187440519
2018-12-28	09:02:04	58480.3762901	rp	18.4108739523	0.459804816893
2018-12-28	08:56:10	58480.3721985	gp	18.7845609821	0.0172895391801
2018-12-28	08:50:30	58480.3682563	gp	18.7770843939	0.0192583355353
2018-12-28	08:47:37	58480.3662626	V	18.0370342161	0.0283507180894
2018-12-28	08:44:57	58480.3644081	V	18.0458720018	0.0257198277246
2018-12-28	08:39:02	58480.3603049	B	19.4385669628	0.0445536610376
2018-12-28	08:33:22	58480.3563639	B	19.4097589746	0.0445494088599
2019-01-04	07:34:07	58487.3152167	ip	17.5891067202	0.02207624142
2019-01-04	07:31:26	58487.313362	ip	17.533886998	0.024102045025
2019-01-04	07:28:33	58487.3113567	rp	17.7198747901	0.0140766408922
2019-01-04	07:25:52	58487.3094903	rp	17.7485784372	0.01607549954
2019-01-04	07:19:59	58487.3054095	gp	18.8663003338	0.0151917332155
2019-01-04	07:14:19	58487.3014685	gp	18.8913390397	0.0151946390941
2019-01-04	07:11:25	58487.2994634	V	18.2026069893	0.0259082991761
2019-01-04	07:08:44	58487.2975857	V	18.2029916069	0.025786975826
2019-01-04	07:02:51	58487.2935025	B	19.7443148583	0.0416412819869
2019-01-04	06:57:11	58487.2895613	B	19.6928777883	0.0359354382539
2019-01-13	05:34:50	58496.2323883	V	18.2268888694	0.0832410877237
2019-01-13	05:32:10	58496.2305337	V	18.3550618694	0.0408148714757
2019-01-13	05:26:17	58496.2264538	B	19.8367638602	0.100742830365
2019-01-15	03:39:41	58498.1524114	V	18.462830027	0.0317099436377
2019-01-15	03:35:40	58498.1496181	V	18.33088638	0.0258533698891
2019-01-15	03:28:06	58498.1443747	B	19.9687112085	0.118619472779
2019-01-15	03:20:46	58498.1392746	B	20.1812195085	0.110009958591
2019-01-15	04:11:07	58498.174249	ip	17.7741970046	0.0154559750894
2019-01-15	04:07:06	58498.1714557	ip	17.8753565046	0.0165044991206
2019-01-15	04:02:53	58498.1685233	rp	17.9145843368	0.0153037316927
2019-01-15	03:58:53	58498.165753	rp	17.9098575035	0.0153651577482
2019-01-15	03:51:18	58498.1604791	gp	19.2391679747	0.0374684984381
2019-01-15	03:43:57	58498.1553787	gp	19.3006806512	0.034504177699
2019-01-21	05:59:28	58504.2494841	ip	17.7994704748	0.0340874077648
2019-01-21	05:55:28	58504.2467019	ip	17.8357409748	0.0221090825902
2019-01-21	05:51:15	58504.2437802	rp	17.9655681061	0.0161206534674
2019-01-21	05:47:14	58504.2409985	rp	18.0057891061	0.0201014818413
2019-01-21	05:39:41	58504.2357476	gp	19.2386159648	0.0173171085107
2019-01-21	05:32:21	58504.230659	gp	19.2745644092	0.0192339229698
2019-01-21	05:28:08	58504.2277266	V	18.6521386557	0.0351631592875
2019-01-21	05:24:07	58504.2249449	V	18.6591132734	0.0436757172082
2019-01-21	05:16:34	58504.2196942	B	20.0601013317	0.0622830111678
2019-01-21	05:09:13	58504.214594	B	20.2615402846	0.0621124827634
2019-01-31	03:38:45	58514.1517718	V	18.5493440228	0.0564383150803
2019-01-31	03:31:09	58514.1464977	B	20.4517740296	0.0545667305839
2019-01-31	03:23:49	58514.1413969	B	20.1847814407	0.0426813601111
2019-02-07	09:34:26	58521.3987643	ip	18.1095308197	0.0203271434566
2019-02-07	09:30:40	58521.3961443	ip	18.1323749308	0.021249302954
2019-02-07	09:26:40	58521.3933737	rp	18.2746844759	0.0143305594385
2019-02-07	09:22:51	58521.390718	rp	18.2727641426	0.0153046839327
2019-02-07	09:15:27	58521.385583	gp	19.7092934359	0.0215692270254
2019-02-07	09:08:20	58521.3806441	gp	19.7169811124	0.0176969290598
2019-02-07	09:04:20	58521.3778739	V	18.9403970772	0.0281554810976
2019-02-07	09:00:34	58521.3752545	V	18.8731172406	0.0257895287277
2019-02-07	08:53:15	58521.3701764	B	20.6435615776	0.0601847153808
2019-02-07	08:46:09	58521.3652386	B	20.5047827442	0.155443180374
2019-02-12	09:53:54	58526.4122888	ip	18.4459013221	0.500695099695
2019-02-12	09:50:07	58526.409669	ip	18.1882320059	0.0173451019018
2019-02-12	09:46:08	58526.4068984	rp	18.3843290698	0.0153874982932
2019-02-12	09:42:22	58526.4042787	rp	18.2733050698	0.0143023085764
2019-02-12	09:35:03	58526.3991903	gp	19.9060987979	0.0233524750481
2019-02-12	09:27:57	58526.394264	gp	19.8443385626	0.0213889877314
2019-02-12	09:23:57	58526.3914936	V	19.0125190645	0.0272430148653
2019-02-12	09:20:11	58526.388874	V	18.9782050645	0.030977446296
2019-02-12	09:12:52	58526.3837851	B	20.7372869249	0.0731380797326
2019-02-12	09:05:46	58526.3788586	B	20.681694319	0.0641649446036
2019-02-22	06:41:50	58536.2789277	ip	18.4023410407	0.0270985724584
2019-02-22	06:25:44	58536.2677192	B	21.0485030789	0.19240383711
2019-02-22	08:53:56	58536.3706465	ip	18.393362129	0.0360799945511
2019-02-22	08:50:10	58536.368027	ip	18.4535801584	0.0290931465709
2019-02-22	08:46:10	58536.3652451	rp	18.6047102364	0.0361574482197
2019-02-22	08:42:24	58536.3626373	rp	18.6191156188	0.028147353498
2019-02-22	08:35:04	58536.3575373	gp	20.3401712193	0.107371194424
2019-02-22	08:27:58	58536.352611	gp	20.1925223173	0.084455446732
2019-02-22	08:23:58	58536.3498407	V	19.4219044039	0.0782580090634
2019-02-22	08:20:12	58536.3472213	V	19.5422211098	0.0842971054883
2019-02-22	08:12:53	58536.3421445	B	20.6810806809	0.165468045537
2019-02-22	08:05:47	58536.3372068	B	21.2034523253	0.253304135773
2019-02-26	08:51:51	58540.3692037	gp	20.4934831167	0.0645018815597
2019-02-26	08:47:50	58540.3664102	V	19.5455126526	0.0551582872588
2019-02-26	08:44:04	58540.3638022	V	19.5633887408	0.0503479792952
2019-02-26	08:29:40	58540.3537873	B	21.4099214061	0.151530791033
2019-02-26	09:17:51	58540.3872514	ip	18.8946577413	0.0531726611557
2019-02-26	09:14:04	58540.3846319	ip	18.5961954766	0.0431682825022
2019-02-26	09:10:05	58540.38185	rp	18.7968523795	0.024230302659
2019-02-26	09:06:16	58540.3792072	rp	18.9084879089	0.0252244648629
2019-02-26	08:58:57	58540.3741303	gp	20.5204030579	0.0674707030565
2019-03-02	05:56:02	58544.2471063	rp	19.0994094266	0.0281696621505
2019-03-02	05:52:16	58544.244486	rp	19.0495856913	0.0241817932136
2019-03-02	05:44:57	58544.2393974	gp	20.7508144409	0.0412105924987
2019-03-02	05:37:51	58544.234471	gp	20.7690914409	0.0343425910586
2019-03-02	05:33:52	58544.2317124	V	19.9137640447	0.0407029912402
2019-03-02	05:30:05	58544.2290929	V	19.9078501623	0.0560083432126
2019-03-02	05:22:47	58544.2240046	B	21.3423927417	0.0859068876267
2019-03-02	05:15:41	58544.2190783	B	21.5122294195	0.085151052232
2019-03-02	06:03:48	58544.2525081	ip	19.0187015688	0.0292956881895
2019-03-02	06:00:01	58544.2498768	ip	19.0032590688	0.0303098642642
2019-03-02	08:49:51	58544.3678105	gp	20.8031271174	0.0324139320025
2019-03-02	08:45:52	58544.3650403	V	19.8065574564	0.040886790491
2019-03-02	08:42:05	58544.3624169	V	20.0151455152	0.0426571201633
2019-03-02	08:34:46	58544.3573402	B	21.7073414639	0.102127844154
2019-03-02	08:27:39	58544.3523905	B	21.4383851169	0.0949826642719
2019-03-02	09:15:51	58544.3858595	ip	19.1092839511	0.0336139865571
2019-03-02	09:12:05	58544.3832516	ip	19.1665231864	0.0374830650875
2019-03-02	09:08:06	58544.3804814	rp	19.1653317501	0.0214228262564
2019-03-02	09:04:16	58544.3778272	rp	19.0324081488	0.0203596539386
2019-03-02	08:56:57	58544.372739	gp	20.7591731174	0.0353745383971
2019-03-13	07:50:15	58555.3264195	V	20.514232005	0.0829996630395
2019-03-13	07:55:42	58555.33021	V	20.5229175638	0.086891000715
2019-03-13	08:01:22	58555.3341395	gp	20.60929952	0.0633594487394
2019-03-13	08:08:28	58555.3390661	gp	20.759125167	0.0703307385417
2019-03-13	08:15:47	58555.3441547	rp	19.2463074132	0.034079010918
2019-03-13	08:21:13	58555.3479333	rp	19.2842619688	0.033090246799
2019-03-13	08:26:53	58555.351863	ip	19.2945384028	0.0570652117774
2019-03-13	08:32:21	58555.3556537	ip	19.2024260695	0.0610520718581
2019-03-16	03:00:46	58558.1253903	rp	19.6746481487	0.0960558180047
2019-03-16	03:06:13	58558.1291807	rp	19.5596319331	0.0980549965963
2019-03-16	03:11:55	58558.1331332	ip	19.2883728225	0.0910943579277
2019-03-16	03:17:22	58558.136924	ip	19.637839499	0.132064932175
2019-03-19	07:55:59	58561.3303982	rp	19.7308632597	0.141115579228
2019-03-19	08:01:25	58561.334177	rp	19.5804995212	0.102131172473
2019-03-19	08:07:06	58561.338118	ip	19.7477956361	0.148174468394
2019-03-19	08:12:32	58561.341897	ip	19.6351155478	0.126272798843
2019-03-20	03:04:33	58562.1280209	rp	19.4945497835	0.115093889833
2019-03-20	03:10:00	58562.1317994	rp	19.5512761953	0.116095109574
2019-03-20	03:15:41	58562.1357403	ip	19.8567454663	0.208094165232
2019-03-20	03:21:07	58562.1395306	ip	19.5651977016	0.182110079347
2019-03-23	03:01:19	58565.125772	rp	19.5045970097	0.0771611901576
2019-03-23	03:06:46	58565.1295623	rp	19.4561645391	0.230056735755
2019-03-23	03:12:27	58565.1335032	ip	19.5003595816	0.254084233114
2019-03-23	03:17:52	58565.1372702	ip	19.403241526	0.19211123609
2019-03-26	02:31:16	58568.104906	ip	19.8368021735	0.0650555017716
2019-03-26	02:25:50	58568.1011388	ip	19.8932265069	0.0690498755525
2019-03-26	02:20:10	58568.0971862	rp	19.4023809537	0.033080136605
2019-03-26	02:14:44	58568.0934194	rp	19.3982339079	0.0320767545737
2019-03-26	02:09:02	58568.0894555	V	20.7592115	0.114117946875
2019-03-26	02:03:36	58568.0856886	V	20.7499934412	0.149097837262
2019-03-29	06:50:00	58571.2845766	V	20.6589800294	0.0681070334697
2019-03-29	06:55:27	58571.288367	V	20.5929980882	0.0660385030891
2019-03-29	07:01:08	58571.2923196	rp	19.5361399746	0.028118847256
2019-03-29	07:06:35	58571.2960989	rp	19.5245276805	0.0291134810422
2019-03-29	07:12:16	58571.3000398	ip	19.6903479858	0.0490836579133
2019-03-29	07:17:42	58571.3038185	ip	19.5820666917	0.0510670698587
2019-04-01	06:15:02	58574.2603009	V	20.9274524118	0.128296102372
2019-04-01	06:20:29	58574.2640797	V	20.8453075	0.118347557276
2019-04-01	06:26:12	58574.2680554	rp	19.5156051355	0.0374435862249
2019-04-01	06:31:39	58574.2718341	rp	19.4847224688	0.0601531508203
2019-04-01	06:37:21	58574.2757867	ip	19.8563974192	0.0961758167364
2019-04-01	06:42:47	58574.2795771	ip	19.6842401251	0.104083212639
2019-04-04	02:34:36	58577.1072342	rp	19.7587791699	0.0281001674815
2019-04-04	02:40:04	58577.1110134	rp	19.6597114556	0.0271101920188
2019-04-04	02:45:45	58577.114966	ip	19.6757442741	0.0350757795449
2019-04-04	02:51:24	58577.1188838	V	20.62226	0.0572946236466
2019-04-04	02:56:51	58577.1226624	V	20.675981	0.0757360853375
2019-04-04	03:02:33	58577.1266382	rp	19.6503882791	0.0280957628904
2019-04-04	03:07:59	58577.1304052	rp	19.7271695733	0.0261103999961
2019-04-04	03:13:40	58577.1343463	ip	19.8884112741	0.0460708282535
2019-04-04	03:19:06	58577.1381248	ip	19.8626242741	0.0380963056868
2019-04-05	02:32:01	58578.1054386	rp	19.6587990786	0.0331024837078
2019-04-05	02:37:28	58578.1092059	rp	19.5588786669	0.0271032327751
2019-04-05	02:43:10	58578.1131702	ip	19.6616848794	0.0440763395615
2019-04-05	02:48:37	58578.1169605	ip	19.6935303794	0.0420853123026
2019-04-05	03:03:08	58578.1270331	V	20.6540489444	0.0644895915882
2019-04-05	03:14:15	58578.1347527	rp	19.644097961	0.0251715366454
2019-04-05	03:08:35	58578.1308117	V	20.8495770588	0.0813961963019
2019-04-05	03:19:42	58578.1385431	rp	19.6263537845	0.0261072287989
2019-04-05	03:25:23	58578.1424841	ip	19.7546378794	0.0440961544859
2019-04-05	03:30:50	58578.146265	ip	19.8659128794	0.0461089616341
2019-04-20	03:50:12	58593.1597162	V	21.0750138333	0.227147475365
2019-04-20	03:55:39	58593.1634949	V	21.0845858333	0.273170231356
2019-04-20	04:01:21	58593.1674709	rp	19.9222046317	0.0590742148561
2019-04-20	04:06:48	58593.1712495	rp	19.7901496317	0.068064131311
2019-04-20	04:12:29	58593.1751905	ip	20.1212133423	0.114056766557
2019-04-20	04:17:56	58593.178981	ip	20.042098009	0.111059041133
2019-04-28	02:28:06	58601.1027049	V	20.6224818333	0.155237453698
2019-04-28	02:39:15	58601.1104482	rp	19.7950210352	0.0490457286724
2019-04-28	02:33:33	58601.1064836	V	21.0240901667	0.16429377343
2019-04-28	02:44:42	58601.1142269	rp	19.8964243686	0.0410516106099
2019-04-28	02:55:53	58601.1219951	ip	20.0317028247	0.0830402286968
2019-04-28	02:50:26	58601.1182164	ip	19.6158608247	0.0700434456041
2019-05-06	02:54:51	58609.1212829	V	18.0588795	0.0433482344539
2019-05-06	03:00:19	58609.1250731	V	17.4926405	0.0423952035206
2019-05-06	03:06:04	58609.129072	rp	17.1106606667	0.0410160322064
