,x,y,dy
166,8021.5,3.429e-15,1.624e-32
167,8047.0,3.3299999999999997e-15,1.6319999999999998e-32
168,8072.6,3.3630000000000004e-15,1.669e-32
169,8098.2,3.3299999999999997e-15,1.76e-32
170,8123.7,3.1879999999999997e-15,1.9109999999999998e-32
171,8149.3,3.175e-15,2.088e-32
172,8174.9,3.205e-15,2.217e-32
173,8200.5,3.203e-15,2.2480000000000002e-32
174,8226.0,3.1850000000000003e-15,2.22e-32
175,8251.6,3.046e-15,2.189e-32
176,8277.2,2.904e-15,2.1709999999999998e-32
177,8302.7,2.873e-15,2.16e-32
178,8328.3,2.8829999999999997e-15,2.1419999999999997e-32
179,8353.9,2.916e-15,2.104e-32
180,8379.5,2.847e-15,2.055e-32
181,8405.0,2.6710000000000002e-15,2.0180000000000002e-32
182,8430.6,2.658e-15,2.0059999999999997e-32
183,8456.2,2.689e-15,2.0199999999999998e-32
184,8481.7,2.5969999999999998e-15,2.051e-32
185,8507.3,2.534e-15,2.0909999999999997e-32
186,8532.9,2.4969999999999998e-15,2.136e-32
187,8558.4,2.395e-15,2.182e-32
188,8584.0,2.302e-15,2.2299999999999998e-32
189,8609.6,2.42e-15,2.279e-32
190,8635.2,2.718e-15,2.33e-32
191,8660.7,2.8129999999999998e-15,2.3819999999999995e-32
192,8686.3,2.581e-15,2.4349999999999999e-32
193,8711.9,2.406e-15,2.49e-32
194,8737.4,2.491e-15,2.5459999999999997e-32
195,8763.0,2.683e-15,2.6049999999999997e-32
196,8788.6,2.75e-15,2.666e-32
197,8814.2,2.791e-15,2.731e-32
198,8839.7,2.834e-15,2.805e-32
199,8865.3,2.749e-15,2.9089999999999996e-32
200,8890.9,2.761e-15,3.096e-32
201,8916.4,2.848e-15,3.468e-32
202,8942.0,2.792e-15,4.125e-32
203,8967.6,2.8690000000000003e-15,4.966e-32
204,8993.2,3.038e-15,5.504999999999999e-32
205,9018.7,2.8329999999999997e-15,5.49e-32
206,9044.3,2.6e-15,5.428e-32
207,9069.9,2.572e-15,5.78e-32
208,9095.4,2.529e-15,6.585e-32
209,9121.0,2.58e-15,7.598e-32
210,9146.6,2.661e-15,8.312e-32
211,9172.1,2.437e-15,8.320999999999999e-32
212,9197.7,2.197e-15,7.988999999999999e-32
213,9223.3,2.297e-15,8.127e-32
