,x,y
86,3650.319575071337,5.760528137466647e-17
87,3652.0608853101758,6.270580276312155e-17
88,3653.8021955490144,9.231151671123556e-17
89,3655.5435057878526,6.154236330539837e-17
90,3657.284816026691,3.4117345606157894e-17
91,3659.026126265529,9.896762734221296e-17
92,3660.7674365043677,1.4823525239714502e-16
93,3662.508746743205,1.0853407038806223e-16
94,3664.250056982044,6.42119199875683e-17
95,3665.991367220882,8.223211580648499e-17
96,3667.732677459719,3.170817876337475e-17
97,3669.473987698558,4.670383747614745e-18
98,3671.2152979373964,-4.440625647081711e-18
99,3672.956608176234,5.734388568365482e-17
100,3674.6979184150728,1.0195646250593855e-16
101,3676.439228653911,9.59780444072136e-17
102,3678.180538892749,9.034468635537637e-17
103,3679.921849131587,5.164081946723652e-17
104,3681.6631593704255,4.5438081566915745e-18
105,3683.4044696092637,2.5550925870577053e-17
106,3685.145779848102,2.6424633738224963e-17
107,3686.8870900869397,4.164730307112611e-17
108,3688.6284003257783,2.105116425432332e-17
109,3690.3697105646165,6.723075451056937e-18
110,3692.111020803455,2.989410550559696e-17
111,3693.8523310422925,9.93627483597724e-17
112,3695.5936412811316,9.521217442166301e-17
113,3697.3349515199684,2.5073470603566545e-17
114,3699.0762617588084,2.4543537344134445e-17
115,3700.8175719976452,4.291342873009163e-17
116,3702.558882236484,6.954154393592097e-17
117,3704.3001924753216,4.1461432278763e-17
118,3706.0415027141603,4.434249242611783e-17
119,3707.7828129529985,5.7632426133648e-17
120,3709.524123191837,2.992926399035291e-17
121,3711.2654334306744,1.2274262621614074e-17
122,3713.006743669513,-4.57036809898004e-17
123,3714.7480539083513,-4.2308145934300846e-18
124,3716.4893641471886,2.760135275350208e-17
125,3718.2306743860277,4.195492823221213e-17
126,3719.971984624866,1.0087821603386344e-17
127,3721.713294863704,-2.8048807834056505e-17
128,3723.4546051025422,1.767140187874393e-17
129,3725.1959153413814,4.1866651517240476e-17
130,3726.9372255802177,2.3702413775176223e-17
131,3728.6785358190564,2.9021547005410193e-18
132,3730.419846057895,1.8760941020541624e-17
133,3732.1611562967328,9.45793183873334e-18
134,3733.9024665355714,1.761137503605218e-17
135,3735.6437767744096,1.504099730932735e-17
136,3737.3850870132483,1.244776127355523e-17
137,3739.126397252087,6.247018201999703e-17
138,3740.867707490924,4.832969488452555e-17
139,3742.6090177297615,8.785352937027697e-17
140,3744.350327968601,6.593153583683744e-17
141,3746.0916382074397,5.913635298383273e-17
142,3747.832948446277,8.391722829804333e-17
143,3749.5742586851147,9.428260208416573e-17
144,3751.3155689239525,9.397737243813365e-17
145,3753.0568791627916,9.747648539557588e-17
