wavelength,flux
4111.901325,1.017046092e-16
4113.165389,3.221851545e-16
4114.429453,3.911228103e-16
4115.693517,1.285252457e-16
4116.957581,-1.610679074e-16
4118.221645,-1.951105719e-16
4119.485709,-1.511216131e-17
4120.749773,2.548235624e-16
4122.013837,2.453534429e-16
4123.277901,1.276377537e-16
4124.541965,1.197280806e-16
4125.806029,6.45994905e-17
4127.070093,-3.007714734e-17
4128.334157,-1.895486235e-18
4129.598221,1.147366478e-16
4130.862285,2.450227824e-16
4132.126349,9.943807474e-17
4133.390413,-6.367793189e-17
4134.654477,9.710901868e-17
4135.918541,2.084966041e-16
4137.182605,1.558030021e-16
4138.446669,2.819098231e-16
4139.710733,4.062421896e-16
4140.974797,1.679060044e-16
4142.238861,5.287311344e-17
4143.502925,2.224384951e-17
4144.766989,3.866283542e-17
4146.031053,1.507029108e-16
4147.295117,3.347321742e-16
4148.559181,3.451959163e-16
4149.823245,5.961409942e-17
4151.087308,-4.84577623e-17
4152.351372,1.847256832e-16
4153.615436,1.477467526e-16
4154.8795,1.108119339e-16
4156.143564,2.421706107e-16
4157.407628,2.196185173e-16
4158.671692,8.648398959e-17
4159.935756,1.421336109e-16
4161.19982,1.095904197e-16
4162.463884,2.073176831e-17
4163.727948,6.559780486e-17
4164.992012,1.427381012e-16
4166.256076,1.734901221e-16
4167.52014,1.302635426e-16
4168.784204,4.835256808e-17
4170.048268,1.691688474e-18
4171.312332,-3.710953912e-17
4172.576396,1.659413644e-16
4173.84046,2.668337484e-16
4175.104524,2.100867629e-16
4176.368588,1.702596707e-16
4177.632652,1.092681038e-16
4178.896716,6.966397328e-17
4180.16078,1.747519364e-16
4181.424844,8.672851742e-17
4182.688908,-9.50033808e-17
4183.952972,-1.166174315e-16
4185.217036,-2.66316787e-17
4186.4811,6.948297955e-17
4187.745164,1.063098016e-16
4189.009228,1.494048328e-16
4190.273292,2.672724056e-16
4191.537356,2.370962745e-16
4192.80142,1.665638675e-16
4194.065484,1.635465376e-16
4195.329548,2.131416534e-16
4196.593612,3.013435912e-16
4197.857676,2.810380939e-16
4199.12174,1.726321703e-16
4200.385804,2.413002579e-16
4201.649868,3.138968313e-16
4202.913932,1.84226847e-16
4204.177996,-8.729346854e-17
4205.44206,-2.404106615e-16
4206.706124,-1.879947539e-16
4207.970188,1.613729617e-17
4209.234252,2.168894433e-16
4210.498316,1.986874861e-16
4211.76238,7.414874804e-17
4213.026444,1.987444888e-16
4214.290508,2.879306657e-16
4215.554572,3.038485323e-16
4216.818636,3.271526057e-16
4218.0827,2.446365883e-16
4219.346764,6.477760565e-17
4220.610828,1.117871649e-17
4221.874892,6.355933404e-17
4223.138956,1.628925487e-16
4224.40302,8.550856498e-17
4225.667084,-1.517332449e-18
4226.931148,6.729422656e-17
4228.195212,1.647991802e-16
4229.459276,1.084323073e-16
4230.72334,-1.700469596e-17
4231.987404,3.197267142e-17
4233.251468,9.790897512e-17
4234.515532,6.724187595e-17
4235.779596,6.914222746e-17
4237.04366,1.48336539e-16
4238.307724,2.07419112e-16
4239.571788,2.097860265e-16
4240.835852,2.267820602e-16
4242.099916,2.581632809e-16
4243.36398,1.415911657e-16
4244.628044,-4.854347061e-18
4245.892108,-1.439888016e-17
4247.156172,5.824533388e-17
4248.420236,3.915549427e-17
4249.6843,-3.521503082e-17
4250.948364,3.919410871e-18
4252.212428,3.5291684e-17
4253.476492,-1.101814585e-17
4254.740556,-1.065907336e-17
4256.00462,5.933836372e-17
4257.268684,9.294982221e-17
4258.532748,1.162723318e-16
4259.796812,1.989283743e-16
4261.060876,1.942955409e-16
4262.32494,8.749418557e-18
