Table 6
SN II V-band Light-curve Parameters

SN	DM	Explosion	t_PT	A_V(Host)	M_max	M_end	M_tail	s_1	s_2	s_3	OPTd	Pd	^56Ni Mass	
(mag)	Epoch (MJD)	(MJD)	(mag)	(mag)	(mag)	(mag)	(mag 100 day^-1)	(mag 100 day^-1)	(mag 100 day^-1)	(days)	(days)	( M_sun)	
2002hx	35.59(0.07)	52582.5^n(9)	52658.9(0.8)	0.00(0.23)	-17.00(0.25)	-16.36(0.25)	-14.60(0.25)	 ... 	1.54(0.04)	1.24(0.04)	68.0(10)	 ... 	0.053	
2002ig	37.47(0.03)	52572.5^s(4)	 ... 	 ... 	-17.66*(0.03)	-16.76*(0.03)	 ... 	 ... 	2.73(0.11)	 ... 	 ... 	 ... 	 ... 	
2003B	31.11(0.28)	52616.5^s(11)	52713.8(0.9)	0.18(0.09)	-15.54(0.30)	-15.29(0.30)	-12.95(0.30)	 ... 	0.65(0.03)	1.07(0.03)	83.2(12)	 ... 	0.017	
2003E	33.92(0.15)	52634.5^s(7)	52765.7(0.8)	 ... 	-15.70*(0.15)	-15.48*(0.15)	 ... 	 ... 	-0.07(0.03)	 ... 	97.4(8)	 ... 	 ... 	
2003T	35.37(0.08)	52654.5^n(10)	52758.7(0.6)	 ... 	-16.54*(0.08)	-16.03*(0.08)	-13.67*(0.08)	 ... 	0.82(0.02)	2.02(0.14)	90.6(11)	 ... 	>0.030	
2003bl	34.02(0.14)	52699.5^s(3)	52804.5(0.2)	0.00(0.27)	-15.35(0.31)	-15.01(0.31)	 ... 	1.05(0.35)	0.24(0.04)	 ... 	92.8(5)	71.7(9)	 ... 	
2003bn	33.79(0.16)	52694.5^n(3)	52813.7(0.7)	0.00(0.07)	-16.80(0.18)	-16.34(0.18)	-13.72(0.18)	0.93(0.06)	0.28(0.04)	 ... 	93.0(5)	53.9(5)	>0.038	
2003ci	35.56(0.07)	52711.5^n(8)	52817.7(1.0)	 ... 	-16.83*(0.07)	-15.70*(0.07)	 ... 	 ... 	1.79(0.04)	 ... 	92.5(9)	 ... 	 ... 	
2003cn	34.48(0.11)	52719.5^s(4)	52804.2(0.3)	0.00(0.12)	-16.26(0.17)	-15.61(0.17)	 ... 	 ... 	1.43(0.04)	 ... 	67.8(6)	 ... 	 ... 	
2003cx	35.96(0.06)	52728.5^s(5)	52828.5(0.8)	0.00(0.17)	-16.79(0.18)	-16.38(0.19)	-14.32(0.19)	 ... 	0.76(0.03)	 ... 	87.8(7)	 ... 	>0.051	
2003dq	36.44(0.06)	52731.5^n(8)	 ... 	 ... 	-16.69*(0.06)	-15.69*(0.36)	 ... 	 ... 	2.50(0.19)	 ... 	 ... 	 ... 	 ... 	
2003ef	34.08(0.14)	52759.5^s(9)	52869.9(0.6)	 ... 	-16.72*(0.14)	-16.15*(0.14)	 ... 	 ... 	0.81(0.02)	 ... 	90.9(10)	 ... 	 ... 	
2003eg	34.23(0.13)	52773.5^s(5)	 ... 	 ... 	-17.81*(0.13)	-14.57*(0.13)	 ... 	 ... 	2.93(0.04)	 ... 	 ... 	 ... 	 ... 	
2003ej	34.36(0.12)	52775.5^n(5)	 ... 	0.00(0.09)	-17.66(0.16)	-15.66(0.16)	 ... 	 ... 	3.46(0.05)	 ... 	69.0(7)	 ... 	 ... 	
2003fb	34.43(0.12)	52776.5^s(6)	52874.4(0.6)	 ... 	-15.56*(0.13)	-15.25*(0.13)	-13.10*(0.14)	 ... 	0.48(0.06)	1.61(0.39)	84.3(7)	 ... 	>0.017	
2003gd	29.93(0.40)	52767.5^s(15)	52840.9(0.2)	0.43^b(0.19)	 ... 	-16.40(0.44)	-13.01(0.45)	 ... 	 ... 	1.03(0.04)	 ... 	 ... 	0.012	
2003hd	36.00(0.06)	52857.5^s(5)	52952.9(1.2)	0.00(0.19)	-17.29(0.20)	-16.72(0.21)	-13.85(0.21)	 ... 	1.11(0.04)	0.72(0.68)	82.4(6)	 ... 	0.029	
2003hg	33.65(0.16)	52865.5^n(5)	52998.6(1.1)	 ... 	-16.38*(0.16)	-15.50*(0.16)	 ... 	1.60(0.06)	0.59(0.03)	 ... 	108.5(7)	67.1(4)	 ... 	
2003hk	34.77(0.10)	52867.5^s(4)	52961.2(1.6)	 ... 	-17.02*(0.10)	-16.36*(0.10)	-13.14*(0.10)	 ... 	1.85(0.06)	0.40(0.66)	86.0(6)	 ... 	>0.017	
2003hl	32.39(0.30)	52868.5^n(5)	53005.4(0.1)	 ... 	-15.91*(0.30)	-15.23*(0.30)	 ... 	 ... 	0.74(0.01)	 ... 	108.9(7)	 ... 	 ... 	
2003hn	31.15(0.10)	52866.5^n(10)	52963.7(0.1)	0.37^c(0.10)	-17.11(0.15)	-16.33(0.15)	-13.64(0.15)	 ... 	1.46(0.02)	1.08(0.05)	90.1(10)	 ... 	0.035	
2003ho	33.77(0.16)	52847.5^s(7)	52920.9(0.1)	 ... 	 ... 	-14.75*(0.16)	-12.00*(0.16)	 ... 	 ... 	1.69(0.10)	 ... 	 ... 	>0.005	
2003ib	34.97(0.09)	52891.5^n(8)	 ... 	0.00(0.28)	-17.10(0.30)	-16.09(0.30)	 ... 	 ... 	1.66(0.05)	 ... 	 ... 	 ... 	 ... 	
2003ip	34.20(0.13)	52896.5^s(4)	52997.6(0.1)	0.13(0.08)	-17.88(0.15)	-16.78(0.16)	 ... 	 ... 	2.01(0.03)	 ... 	80.7(6)	 ... 	 ... 	
2003iq	32.39(0.30)	52919.5^n(2)	53019.6(0.1)	 ... 	-16.69*(0.30)	-16.18*(0.30)	 ... 	 ... 	0.75(0.03)	 ... 	84.9(4)	 ... 	 ... 	
2004dy	35.46(0.07)	53241.0^n(3)	53289.0(0.5)	 ... 	-16.03*(0.07)	-16.02*(0.07)	 ... 	 ... 	0.09(0.14)	 ... 	 ... 	25.0(5)	 ... 	
2004ej	33.10(0.21)	53224.9^s(8)	53338.7(0.6)	0.14(0.07)	-16.76(0.22)	-16.27(0.23)	-13.06(0.23)	 ... 	1.07(0.04)	0.89(0.13)	96.1(9)	 ... 	0.019	
2004er	33.79(0.16)	53271.8^n(2)	53429.6(2.5)	0.34(0.17)	-17.08(0.24)	-16.01(0.24)	 ... 	1.28(0.03)	0.40(0.03)	 ... 	120.2(6)	59.2(4)	 ... 	
