event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2004et,53288.4,12.58,0.02,,V,,,"2010MNRAS.404..981M,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53289.56,12.998,0.017,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53289.56,11.937,0.019,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53289.56,12.156,0.019,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53289.56,12.673,0.034,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53289.56,12.552,0.011,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.14,11.723,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53290.14,11.435,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53290.14,11.408,0.01,,R,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53290.14,11.633,0.01,,V,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53290.15,13.08,,,B,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.15,12,,,I,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.15,12.27,,,R,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.15,12.66,,,U,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.15,12.68,,,V,,,"2005PASP..117..121L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.737,13.047,0.012,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.737,11.927,0.024,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.737,12.167,0.014,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.737,12.751,0.035,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53290.737,12.56,0.019,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53291.577,13.065,0.017,,B,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53291.577,11.923,0.022,,I,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53291.577,12.161,0.02,,R,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53291.577,12.793,0.033,,U,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53291.577,12.558,0.013,,V,,,"2006MNRAS.372.1315S,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN2004et,53292.14,11.742,0.01,,B,KAIT,KAIT,2014MNRAS.442..844F
SN2004et,53292.14,11.387,0.01,,I,KAIT,KAIT,2014MNRAS.442..844F
